catalog_number,name,body_family_code,body_family_name,brazil_priority,status
170,Jabuti-piranga,F07,Réptil/Anfíbio,yes,planned
171,Jabuti-tinga,F07,Réptil/Anfíbio,yes,planned
172,Tartaruga-verde,F07,Réptil/Anfíbio,yes,planned
173,Tartaruga-cabeçuda,F07,Réptil/Anfíbio,yes,planned
174,Sucuri-verde,F07,Réptil/Anfíbio,yes,planned
175,Jiboia,F07,Réptil/Anfíbio,yes,planned
176,Cascavel,F07,Réptil/Anfíbio,yes,planned
177,Cobra-coral-verdadeira,F07,Réptil/Anfíbio,yes,planned
178,Caninana,F07,Réptil/Anfíbio,yes,planned
179,Sapo-cururu,F07,Réptil/Anfíbio,yes,planned
180,Perereca-verde,F07,Réptil/Anfíbio,yes,planned
181,Rã-touro,F07,Réptil/Anfíbio,no,planned
182,Axolote,F07,Réptil/Anfíbio,no,planned
183,Boto-cor-de-rosa,F08,Aquático,yes,planned
184,Boto-cinza,F08,Aquático,yes,planned
185,Golfinho-nariz-de-garrafa,F08,Aquático,no,planned
186,Orca,F08,Aquático,no,planned
187,Baleia-jubarte,F08,Aquático,yes,planned
188,Baleia-azul,F08,Aquático,no,planned
189,Tubarão-martelo,F08,Aquático,no,planned
190,Tubarão-baleia,F08,Aquático,no,planned
191,Tubarão-lixa,F08,Aquático,yes,planned
192,Raia-manta,F08,Aquático,no,planned
193,Arraia-de-água-doce,F08,Aquático,yes,planned
194,Polvo,F08,Aquático,no,planned
195,Lula,F08,Aquático,no,planned
196,Cavalo-marinho,F08,Aquático,no,planned
197,Pinguim-rei,F08,Aquático,no,planned
198,Foca,F08,Aquático,no,planned
199,Leão-marinho,F08,Aquático,no,planned
200,Peixe-palhaço,F08,Aquático,no,planned
